estimator_id,source_profile,scalar_degree,packing_degree,policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,1,Quantum128BitADPS16,q128,162,2,24116880,17,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.730000000000,484,,482,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,1,Quantum128BitADPS16,q128,162,3,24116880,676757,486,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,2,Quantum128BitADPS16,q128,324,1,24116880,8,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.730000000000,484,,482,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,2,Quantum128BitADPS16,q128,324,2,24116880,1085077782,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-bounded-w46-delta16,162,4,Quantum128BitADPS16,q128,648,1,24116880,542538891,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,1,Quantum128BitADPS16,q128,162,1,24641160,5,162,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,76.585000000000,484,,289,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,1,Quantum128BitADPS16,q128,162,2,24641160,16,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,1,Quantum128BitADPS16,q128,162,3,24641160,645916,486,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,2,Quantum128BitADPS16,q128,324,1,24641160,8,324,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.465000000000,484,,481,0,Exact
akita-infinity-width-v4,phi243-fixed-w47-delta16,162,2,Quantum128BitADPS16,q128,324,2,24641160,1037128646,648,6400000000000,false,local-minimum+proven-pruned-certification,128.0,above-target:128.260000000000,127.995000000000,484,,483,0,Exact
