policy,modulus_profile,d,rank,coeff_linf_bound,max_width,scalar_n,search_cap,hit_cap,profile,target_bits,max_adps16_quantum_rop_log2,next_adps16_quantum_rop_log2,max_beta,max_zeta,next_beta,next_zeta,cutoff_kind
Quantum128BitADPS16,q31,512,17,2,6400000000000,8704,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:403919.027264143107,,4934,3276799999981958,,,AtLeast
Quantum128BitADPS16,q31,512,18,2,6400000000000,9216,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:431334.651243075263,,4934,3276799999981435,,,AtLeast
Quantum128BitADPS16,q31,512,19,2,6400000000000,9728,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:458866.430110137444,,4934,3276799999980926,,,AtLeast
Quantum128BitADPS16,q31,512,20,2,6400000000000,10240,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:486480.015592435375,,4934,3276799999980431,,,AtLeast
Quantum128BitADPS16,q31,1024,1,2,6400000000000,1024,6400000000000,true,local-minimum+proven-pruned-certification,128.0,145.750000000000,,550,0,,,AtLeast
Quantum128BitADPS16,q31,1024,2,2,6400000000000,2048,6400000000000,true,local-minimum+proven-pruned-certification,128.0,367.025000000000,,1385,0,,,AtLeast
Quantum128BitADPS16,q31,1024,3,2,6400000000000,3072,6400000000000,true,local-minimum+proven-pruned-certification,128.0,613.740000000000,,2316,0,,,AtLeast
Quantum128BitADPS16,q31,1024,4,2,6400000000000,4096,6400000000000,true,local-minimum+proven-pruned-certification,128.0,876.885000000000,,3309,0,,,AtLeast
Quantum128BitADPS16,q31,1024,5,2,6400000000000,5120,6400000000000,true,local-minimum+proven-pruned-certification,128.0,1151.955000000000,,4347,0,,,AtLeast
Quantum128BitADPS16,q31,1024,6,2,6400000000000,6144,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:268841.617552618205,,4934,6553599999984842,,,AtLeast
Quantum128BitADPS16,q31,1024,7,2,6400000000000,7168,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:322421.545241487329,,4933,6553599999983629,,,AtLeast
Quantum128BitADPS16,q31,1024,8,2,6400000000000,8192,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:376613.237597772444,,4934,6553599999982497,,,AtLeast
Quantum128BitADPS16,q31,1024,9,2,6400000000000,9216,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:431334.651243075263,,4934,6553599999981435,,,AtLeast
Quantum128BitADPS16,q31,1024,10,2,6400000000000,10240,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:486480.015592435375,,4934,6553599999980431,,,AtLeast
Quantum128BitADPS16,q31,1024,11,2,6400000000000,11264,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:542025.028038142249,,4934,6553599999979475,,,AtLeast
Quantum128BitADPS16,q31,1024,12,2,6400000000000,12288,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:597856.624853740563,,4934,6553599999978563,,,AtLeast
Quantum128BitADPS16,q31,1024,13,2,6400000000000,13312,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:654009.196749080904,,4934,6553599999977687,,,AtLeast
Quantum128BitADPS16,q31,1024,14,2,6400000000000,14336,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:710389.943283069995,,4934,6553599999976845,,,AtLeast
Quantum128BitADPS16,q31,1024,15,2,6400000000000,15360,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:767016.378531839582,,4934,6553599999976032,,,AtLeast
Quantum128BitADPS16,q31,1024,16,2,6400000000000,16384,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:823839.213419076172,,4934,6553599999975246,,,AtLeast
Quantum128BitADPS16,q31,1024,17,2,6400000000000,17408,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:880856.747431590455,,4934,6553599999974484,,,AtLeast
Quantum128BitADPS16,q31,1024,18,2,6400000000000,18432,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:938015.108986146050,,4934,6553599999973745,,,AtLeast
Quantum128BitADPS16,q31,1024,19,2,6400000000000,19456,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:995376.282955257455,,4934,6553599999973025,,,AtLeast
Quantum128BitADPS16,q31,1024,20,2,6400000000000,20480,6400000000000,true,local-minimum+proven-pruned-certification,128.0,above-target:1052867.778283306630,,4933,6553599999972327,,,AtLeast
Quantum128BitADPS16,q31,64,1,3,92,64,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,2,3,7960,128,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
Quantum128BitADPS16,q31,64,3,3,181097,192,6400000000000,false,local-minimum+proven-pruned-certification,128.0,128.260000000000,127.995000000000,484,0,483,0,Exact
