log2_arg,log2_erf
-15.75,-15.5757480648945058816599096725538285920786419322080291235240
-15.625,-15.4507480649244661628091609859999212870959297815929420998542
-15.5,-15.3257480649600951423186846285205197424932560217727093208164
-15.375,-15.2007480650024653782507800056547431989032970306177183379936
-15.25,-15.0757480650528523642842759366872732931146970429496357033901
-15.125,-14.9507480651127729265770194372608450357487275182071262155106
-15.0,-14.8257480651840308855879220877549977782218143421464927937501
-14.875,-14.7007480652687713574405945893867099287072528278905928785448
-14.75,-14.5757480653695453294912971823585101180578267406801970841397
-14.625,-14.4507480654893864540537476782335771708446742100978562190552
-14.5,-14.3257480656319023720429744410377055501007042460270192850159
-14.375,-14.2007480658013833157022464337609172458418015395216923066031
-14.25,-14.0757480660029312597384945433427901137320476760722638842149
-14.125,-13.9507480662426135087712495140236437463550597755587156164977
-14.0,-13.8257480665276453446193888869271886228883610723120793826453
-13.875,-13.7007480668666072317536408302665731463475196713279341306792
-13.75,-13.5757480672697031195655087440739087227598815073970087430431
-13.625,-13.4507480677490676172624346013106961520994515319161615410014
-13.5,-13.3257480683191312884374567365549107037113614116577344992401
-13.375,-13.2007480689970550619687924552360167021178304597109887845003
-13.25,-13.0757480698032468365500150621490462892971109554746841997580
-13.125,-12.9507480707619758304695304413405582531671878066902196371815
-13.0,-12.8257480719021031707345482716252651655480478731539242089464
-12.875,-12.7007480732579507148485470404407643635421039124945596121375
-12.75,-12.5757480748703342598409393772522498631078090049335328360268
-12.625,-12.4507480767877922417826248042479538284903143254259671147719
-12.5,-12.3257480790680469139725547203847078623758376698054123534099
-12.375,-12.2007480817797419904058616113803703302948109279397752012864
-12.25,-12.0757480850045090637104348232809875433227413458004034390568
-12.125,-11.9507480888394250040044244296505689811992107189938836944584
-12.0,-11.8257480933999343150238614152512705084570358799655132514711
-11.875,-11.7007480988233244207117128311133755557223918643430558830389
-11.75,-11.5757481052728585006000137787127255140135594356586503526872
-11.625,-11.4507481129426902868304686243842160147600448572112964908104
-11.5,-11.3257481220637087754276522573570673795777866246211813571150
-11.375,-11.2007481329104887980883073878614154862944389775455782693049
