policy,modulus_profile,ring_dimension,module_rank,coeff_linf_bound,scalar_n,accepted_m,immediate_rejected_m,cutoff_kind,certificate_domain,search_cap,hit_cap,discovery_profile
Quantum128BitADPS16,Q32Offset99,32,7,15,224,1663552,1663553,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,15,256,6012384,6012385,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,15,288,19783168,19783169,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,15,320,60362336,60362337,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,15,352,173012192,173012193,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,15,384,470303200,470303201,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,15,416,1221365632,1221365633,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,15,448,3047742624,3047742625,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,15,480,7341527872,7341527873,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,15,512,17136254144,17136254145,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,15,544,38881003296,38881003297,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,15,576,85981496320,85981496321,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,15,608,185738763392,185738763393,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,15,640,320000000000,320000000000,AtLeast,exhaustive-beta-zeta,10000000000,true,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,31,32,128,129,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,31,64,288,289,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,31,96,480,481,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,31,128,1664,1665,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,31,160,13888,13889,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,31,192,73856,73857,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,31,224,316832,316833,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,31,256,1181152,1181153,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,31,288,3970720,3970721,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,31,320,12308992,12308993,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,31,352,35715168,35715169,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,31,384,98040448,98040449,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,31,416,256661344,256661345,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,31,448,644782624,644782625,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,31,480,1562097760,1562097761,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,31,512,3664248160,3664248161,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,31,544,8349922272,8349922273,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,31,576,18535550528,18535550529,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,31,608,40176928224,40176928225,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,31,640,85206571328,85206571329,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,63,32,96,97,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,63,64,256,257,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,63,96,416,417,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,63,128,608,609,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,63,160,1856,1857,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,63,192,12576,12577,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,63,224,59136,59137,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,63,256,231584,231585,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,63,288,803296,803297,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,63,320,2545216,2545217,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,63,352,7506080,7506081,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,63,384,20866048,20866049,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,63,416,55180032,55180033,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,63,448,139778112,139778113,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,63,480,341000832,341000833,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,63,512,804649376,804649377,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,63,544,1843012192,1843012193,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,63,576,4109553728,4109553729,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,63,608,8942953536,8942953537,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,63,640,19032853664,19032853665,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,127,32,96,97,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,127,64,224,225,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,127,96,352,353,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,127,128,480,481,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,127,160,704,705,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,127,192,1664,1665,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,127,224,10080,10081,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,127,256,43424,43425,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,127,288,158560,158561,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,127,320,519168,519169,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,127,352,1566720,1566721,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,127,384,4430592,4430593,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,127,416,11873536,11873537,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,127,448,30399584,30399585,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,127,480,74814880,74814881,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,127,512,177839328,177839329,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,127,544,409888256,409888257,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,127,576,918919104,918919105,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,127,608,2009148832,2009148833,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,127,640,4293801344,4293801345,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,255,32,96,97,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,255,64,192,193,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,255,96,320,321,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,255,128,416,417,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,255,160,576,577,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,255,192,768,769,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,255,224,1280,1281,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,255,256,7264,7265,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,255,288,29408,29409,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,255,320,101856,101857,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,255,352,318528,318529,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,255,384,923456,923457,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,255,416,2521024,2521025,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,255,448,6547648,6547649,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,255,480,16299936,16299937,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,255,512,39112000,39112001,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,255,544,90858656,90858657,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,255,576,205062464,205062465,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,255,608,450950368,450950369,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,255,640,968604096,968604097,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,511,32,64,65,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,511,64,160,161,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,511,96,288,289,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,511,128,384,385,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,511,160,480,481,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,511,192,640,641,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,511,224,800,801,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,511,256,1088,1089,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,511,288,4704,4705,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,511,320,18432,18433,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,511,352,61536,61537,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,511,384,185696,185697,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,511,416,521184,521185,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,511,448,1381600,1381601,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,511,480,3494016,3494017,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,511,512,8489856,8489857,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,511,544,19925696,19925697,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,511,576,45357760,45357761,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,511,608,100472960,100472961,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,511,640,217160640,217160641,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,1023,32,64,65,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,1023,64,160,161,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,1023,96,256,257,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,1023,128,352,353,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,1023,160,448,449,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,1023,192,544,545,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,1023,224,672,673,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,1023,256,832,833,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,1023,288,1056,1057,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,10,1023,320,2752,2753,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,11,1023,352,10720,10721,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,12,1023,384,35008,35009,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,13,1023,416,102976,102977,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,14,1023,448,281824,281825,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,15,1023,480,729440,729441,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,16,1023,512,1804032,1804033,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,17,1023,544,4293760,4293761,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,18,1023,576,9885952,9885953,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,19,1023,608,22106432,22106433,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,20,1023,640,48163584,48163585,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,1,2047,32,64,65,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,2,2047,64,128,129,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,3,2047,96,224,225,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,4,2047,128,320,321,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,5,2047,160,384,385,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,6,2047,192,480,481,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,7,2047,224,608,609,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,8,2047,256,736,737,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
Quantum128BitADPS16,Q32Offset99,32,9,2047,288,864,865,Exact,exhaustive-beta-zeta,10000000000,false,local-minimum
