family,d,rank,collision_l2_sq,max_width,target_bits,search_cap,hit_cap,max_rop_log2,next_rop_log2,max_beta,next_beta
q32,32,1,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,585,
q32,32,2,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,1170,
q32,32,3,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,1755,
q32,32,4,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,2340,
q32,32,5,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,2925,
q32,32,6,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,3510,
q32,32,7,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,8,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,4681,
q32,32,9,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,5266,
q32,32,10,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,5851,
q32,32,11,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,6436,
q32,32,12,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,7021,
q32,32,13,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,7606,
q32,32,14,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,8191,
q32,32,15,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,8777,
q32,32,16,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,9362,
q32,32,17,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,9947,
q32,32,18,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,10532,
q32,32,19,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,11117,
q32,32,20,128,6400000000000,128.00000000000000000,6400000000000,true,inf,,11702,
q32,32,1,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,511,
q32,32,2,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,1023,
q32,32,3,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,1535,
q32,32,4,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,2047,
q32,32,5,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,2559,
q32,32,6,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,3071,
q32,32,7,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,3583,
q32,32,8,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,9,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,4607,
q32,32,10,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,5119,
q32,32,11,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,5631,
q32,32,12,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,6143,
q32,32,13,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,6655,
q32,32,14,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,7167,
q32,32,15,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,7679,
q32,32,16,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,8191,
q32,32,17,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,8703,
q32,32,18,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,9215,
q32,32,19,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,9727,
q32,32,20,256,6400000000000,128.00000000000000000,6400000000000,true,inf,,10239,
q32,32,1,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,455,
q32,32,2,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,910,
q32,32,3,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,1365,
q32,32,4,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,1820,
q32,32,5,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,2275,
q32,32,6,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,2730,
q32,32,7,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,3185,
q32,32,8,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,3640,
q32,32,9,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,10,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,4551,
q32,32,11,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,5006,
q32,32,12,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,5461,
q32,32,13,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,5916,
q32,32,14,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,6371,
q32,32,15,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,6826,
q32,32,16,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,7281,
q32,32,17,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,7736,
q32,32,18,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,8191,
q32,32,19,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,8647,
q32,32,20,512,6400000000000,128.00000000000000000,6400000000000,true,inf,,9102,
q32,32,1,1024,11,128.00000000000000000,6400000000000,false,inf,97.255000000000,352,367
q32,32,2,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,819,
q32,32,3,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,1228,
q32,32,4,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,1638,
q32,32,5,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,2047,
q32,32,6,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,2457,
q32,32,7,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,2867,
q32,32,8,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,3276,
q32,32,9,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,3686,
q32,32,10,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,11,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,4505,
q32,32,12,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,4915,
q32,32,13,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,5324,
q32,32,14,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,5734,
q32,32,15,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,6143,
q32,32,16,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,6553,
q32,32,17,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,6963,
q32,32,18,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,7372,
q32,32,19,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,7782,
q32,32,20,1024,6400000000000,128.00000000000000000,6400000000000,true,inf,,8191,
q32,32,1,2048,9,128.00000000000000000,6400000000000,false,inf,75.525000000000,288,285
q32,32,2,2048,6400000000000,128.00000000000000000,6400000000000,true,195.570000000000,,738,
q32,32,3,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,1117,
q32,32,4,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,1489,
q32,32,5,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,1861,
q32,32,6,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,2234,
q32,32,7,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,2606,
q32,32,8,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,2978,
q32,32,9,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,3351,
q32,32,10,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,3723,
q32,32,11,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,12,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,4468,
q32,32,13,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,4840,
q32,32,14,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,5213,
q32,32,15,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,5585,
q32,32,16,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,5957,
q32,32,17,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,6330,
q32,32,18,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,6702,
q32,32,19,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,7074,
q32,32,20,2048,6400000000000,128.00000000000000000,6400000000000,true,inf,,7447,
q32,32,1,4096,7,128.00000000000000000,6400000000000,false,inf,66.515000000000,224,251
q32,32,2,4096,6400000000000,128.00000000000000000,6400000000000,true,154.230000000000,,582,
q32,32,3,4096,6400000000000,128.00000000000000000,6400000000000,true,266.590000000000,,1006,
q32,32,4,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,1365,
q32,32,5,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,1706,
q32,32,6,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,2047,
q32,32,7,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,2389,
q32,32,8,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,2730,
q32,32,9,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,3071,
q32,32,10,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,3413,
q32,32,11,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,3754,
q32,32,12,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,4095,
q32,32,13,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,4437,
q32,32,14,4096,6400000000000,128.00000000000000000,6400000000000,true,inf,,4778,
