baseline,machine_config,library,field,ext_degree,basis,op,workload,vectorization,arch,simd,width,unit,ns_per_op_or_lane,lower,upper,family,label,group,bench_id
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,,,sub,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.278,0.278,0.279,base,mersenne31,field_arith_base_throughput_stream_mersenne31_w8,scalar_sub_stream_8x256_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.140,0.140,0.140,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_add_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add,latency_chain,scalar,x86_64,avx2,8,ns/op,1.046,1.046,1.046,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_add_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add,throughput_stream,packed,x86_64,avx2,8,ns/lane,0.155,0.155,0.155,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,packed_add_stream_8x8x128_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add,throughput_stream,scalar,x86_64,avx2,8,ns/op,0.356,0.356,0.356,ext4,m31_rs_fp4,field_arith_ext4_throughput_stream_m31_rs_fp4_w8,scalar_add_stream_8x128_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add_neg,latency_chain,packed,x86_64,avx2,8,ns/lane,0.276,0.276,0.276,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_add_neg_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,add_neg,latency_chain,scalar,x86_64,avx2,8,ns/op,1.748,1.748,1.749,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_add_neg_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,double,latency_chain,packed,x86_64,avx2,8,ns/lane,0.137,0.137,0.137,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_double_chain_512x8_ns_lane
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,double,latency_chain,scalar,x86_64,avx2,8,ns/op,1.046,1.046,1.046,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,scalar_double_chain_512_ns_per_op
avx2,amd-ryzen-9950x-avx2,akita,mersenne31,4,ring_subfield,double_add,latency_chain,packed,x86_64,avx2,8,ns/lane,0.275,0.274,0.275,ext4,m31_rs_fp4,field_arith_ext4_latency_chain_m31_rs_fp4_w8,packed_double_add_chain_512x8_ns_lane
